skill,job_count,percentage_of_jobs
Data Analysis,727,69.37
SQL,719,68.61
Python,676,64.5
Machine Learning,457,43.61
Cloud,387,36.93
Big Data,289,27.58
Tableau,263,25.1
Power BI,261,24.9
Excel,206,19.66
Cybersecurity,182,17.37
MLOps,170,16.22
Networking,128,12.21
Git,111,10.59
Deep Learning,108,10.31
NLP,81,7.73
Docker/Kubernetes,64,6.11
